comment_id,comment_text,video_title,channel_name,likes,reply_count,published_date,vader_compound,tb_polarity,tb_subjectivity,sentiment_label,language_detected
CMT00021,I have seen similar content before. Keep it up! 🙄,Data Science with Pandas,CampusX,4,3,2024-11-19 02:00:00,0.0136,-0.0149,0.4666,Neutral,Hinglish
CMT00022,"Outstanding content, very well explained! ✨",Deep Learning Explained,3Blue1Brown,7,4,2024-06-10 14:53:00,0.5255,0.1758,0.5346,Positive,English
CMT00023,Not sure if this matches what I was looking for. 🙄,Machine Learning Crash Course,CodeBasics,1,1,2024-04-28 03:47:00,-0.0394,0.0254,0.5426,Neutral,English
CMT00024,"Boring and repetitive, just reading the slides word by word. Please reply. 🤦",SQL for Data Analysis,CampusX,4,0,2024-04-04 20:27:00,-0.7986,-0.3975,0.7635,Negative,English
CMT00025,"Wow this is so good, subscribing right now! Please reply. 🙌",Neural Networks Tutorial,Telusko,30,0,2024-04-24 02:56:00,0.6489,0.2989,0.6528,Positive,English
CMT00026,"This video deserves way more views, so underrated! 👍",Natural Language Processing Basics,3Blue1Brown,76,50,2024-02-10 11:13:00,0.5976,0.1907,0.6457,Positive,Hindi
CMT00027,"You are a genius, this was so helpful for my exam! Thanks! 👍",Data Science with Pandas,CodeBasics,11,6,2024-01-26 05:47:00,0.8811,0.4361,0.8396,Positive,English
CMT00028,"Okay video, nothing special really. Keep it up! 🤔",Python Tutorial for Beginners,freeCodeCamp,3,1,2024-07-23 14:22:00,-0.0187,0.023,0.3442,Neutral,English
CMT00029,"Outstanding content, very well explained! Great work. 🔥",Web Development with Flask,Telusko,44,25,2024-12-05 00:07:00,0.4246,0.3147,0.8016,Positive,English
CMT00030,"This gave me a headache, the explanation is so confusing. 😒",Web Development with Flask,StatQuest,0,0,2025-01-29 18:12:00,-0.954,-0.4333,0.3038,Negative,Hindi
CMT00031,"You are a genius, this was so helpful for my exam! Great work. ❤️",Neural Networks Tutorial,Sentdex,46,42,2024-12-04 19:20:00,0.6956,0.9432,0.6307,Positive,English
CMT00032,Not sure if this matches what I was looking for. 🤷,Natural Language Processing Basics,Telusko,0,0,2024-07-15 13:42:00,-0.0153,-0.0073,0.8523,Neutral,Hindi
CMT00033,I will share this with my classmates. Great work. 😐,Natural Language Processing Basics,KrishNaik,0,1,2024-11-25 14:28:00,0.0055,-0.0075,0.4537,Neutral,English
CMT00034,This really helped me understand the topic perfectly! ✨,Deep Learning Explained,CampusX,148,14,2024-07-22 04:01:00,0.6693,0.3196,0.137,Positive,English
CMT00035,Came here from Google search. 💭,Neural Networks Tutorial,freeCodeCamp,16,12,2024-09-06 04:41:00,-0.0036,0.0309,0.6501,Neutral,Tamil
CMT00036,I noticed the thumbnail was a bit different. 📌,Computer Vision with OpenCV,KrishNaik,8,1,2025-04-12 04:51:00,-0.0225,0.0243,0.4717,Neutral,English
CMT00037,"The worst channel I have ever subscribed to, unsubscribing now. Please reply. ❌",SQL for Data Analysis,CodeBasics,3,3,2025-04-05 08:48:00,-0.4141,-0.3167,0.2978,Negative,Hinglish
CMT00038,Not sure if this matches what I was looking for. 📌,Natural Language Processing Basics,KrishNaik,0,1,2024-12-09 10:57:00,-0.0012,-0.0209,0.5321,Neutral,English
CMT00039,"Wow this is so good, subscribing right now! Great work. 💯",Computer Vision with OpenCV,freeCodeCamp,57,26,2024-03-04 06:53:00,0.714,0.111,0.4361,Positive,Tamil
CMT00040,I watched this video today. Keep it up! 🤷,Python Tutorial for Beginners,3Blue1Brown,2,2,2025-02-03 13:34:00,0.0285,0.0212,0.698,Neutral,English
CMT00041,"Average video, serves its purpose. Keep it up! 😐",Web Development with Flask,StatQuest,0,0,2025-04-23 04:39:00,-0.0224,-0.0051,0.5273,Neutral,English
CMT00042,"This is the worst video I have ever seen, waste of time. Thanks! 🚫",Python Tutorial for Beginners,CampusX,6,6,2024-12-01 06:29:00,-0.9111,-0.5928,0.3615,Negative,Tamil
CMT00043,"Amazing quality content, you are a legend! 😊",Computer Vision with OpenCV,TechWithTim,1,1,2024-08-17 20:04:00,0.2871,0.1278,0.725,Positive,Hinglish
CMT00044,"Okay video, nothing special really. Thanks! 👀",Data Science with Pandas,freeCodeCamp,12,10,2024-04-27 18:13:00,-0.0241,-0.0384,0.472,Neutral,English
CMT00045,"Best channel on YouTube for learning, period! Thanks! 🔥",Natural Language Processing Basics,Sentdex,14,0,2024-11-15 18:43:00,0.6208,0.7605,0.8264,Positive,English
CMT00046,I have seen similar content before. 💭,Natural Language Processing Basics,Programming with Mosh,5,6,2024-05-03 18:50:00,-0.0339,0.0152,0.1329,Neutral,English
CMT00047,The audio quality is so bad I cannot even hear properly. Keep it up! ❌,Machine Learning Crash Course,StatQuest,3,2,2025-04-15 22:09:00,-0.5144,-0.6758,0.4484,Negative,Hindi
CMT00048,Just here to understand the basics. Keep it up! 📌,Neural Networks Tutorial,Programming with Mosh,3,2,2024-11-26 07:53:00,0.0093,0.0336,0.8477,Neutral,English
CMT00049,"I watched this three times, so informative! ✨",SQL for Data Analysis,3Blue1Brown,39,11,2025-05-14 06:22:00,0.5857,0.6848,0.7383,Positive,English
CMT00050,Just here to understand the basics. 💭,Deep Learning Explained,StatQuest,1,1,2024-09-03 22:30:00,0.0045,0.0013,0.6167,Neutral,English
CMT00051,Came here from Google search. Great work. 💭,Reinforcement Learning Guide,3Blue1Brown,17,15,2024-12-18 13:47:00,-0.0165,-0.0076,0.5403,Neutral,English
CMT00052,"Your teaching style is wonderful, please make more videos! Great work. ❤️",Machine Learning Crash Course,Telusko,74,48,2024-07-08 06:13:00,0.2863,0.1646,0.6909,Positive,English
CMT00053,The presenter is very unclear and keeps making mistakes. Great work. 😤,Deep Learning Explained,3Blue1Brown,28,5,2024-11-05 00:45:00,-0.429,-0.0685,0.5273,Negative,English
CMT00054,The video covers the basic points. 📌,Python Tutorial for Beginners,Programming with Mosh,11,4,2025-04-25 15:28:00,-0.0166,0.0355,0.3726,Neutral,English
CMT00055,"Average video, serves its purpose. 📌",Reinforcement Learning Guide,TechWithTim,4,1,2024-06-01 18:19:00,-0.0309,-0.0348,0.1681,Neutral,English
CMT00056,"Stopped watching at 2 minutes, absolute waste of my time. Please reply. 😤",Neural Networks Tutorial,freeCodeCamp,25,14,2024-10-31 18:27:00,-0.4201,-0.2488,0.3443,Negative,Hinglish
CMT00057,"Completely wrong information, please do your research first. Great work. 😤",Machine Learning Crash Course,CodeBasics,0,0,2024-06-26 17:04:00,-0.0993,-0.8026,0.2252,Negative,English
CMT00058,"Nothing new here, just copied from other videos. 🤦",SQL for Data Analysis,Sentdex,2,1,2024-09-27 20:37:00,-0.7162,-0.7801,0.6289,Negative,English
CMT00059,I have been struggling with this for days and you explained it so simply! 👍,Python Tutorial for Beginners,CodeBasics,2,2,2024-10-22 14:07:00,0.6588,0.913,0.475,Positive,English
CMT00060,"This is pure gold, thank you for sharing! Please reply. 🔥",Python Tutorial for Beginners,StatQuest,19,10,2024-09-13 00:05:00,0.5204,0.5191,0.2831,Positive,Hindi
CMT00061,"This is the worst video I have ever seen, waste of time. Please reply. 🤦",Python Tutorial for Beginners,CodeBasics,4,3,2025-06-15 20:28:00,-0.0504,-0.3613,0.8329,Negative,English
CMT00062,"This changed my life, thank you from the bottom of my heart! Great work. 💯",Web Development with Flask,Sentdex,15,5,2024-12-03 13:44:00,0.9609,0.4965,0.4964,Positive,Hinglish
CMT00063,The video covers the basic points. Great work. 🙄,Machine Learning Crash Course,StatQuest,8,8,2024-01-02 21:55:00,-0.0371,-0.033,0.5341,Neutral,English
CMT00064,"This video deserves way more views, so underrated! 🙌",Deep Learning Explained,CampusX,22,17,2024-05-14 09:28:00,0.6353,0.5236,0.8047,Positive,English
CMT00065,"Best channel on YouTube for learning, period! Please reply. 🎉",Python Tutorial for Beginners,Telusko,16,13,2024-04-05 07:53:00,0.8014,0.7243,0.8303,Positive,English
CMT00066,This video is way too long and covers nothing useful. Keep it up! 🤦,SQL for Data Analysis,freeCodeCamp,7,3,2025-04-12 17:09:00,-0.5215,-0.3192,0.4069,Negative,Hinglish
CMT00067,This video is way too long and covers nothing useful. Great work. ❌,Computer Vision with OpenCV,CampusX,1,0,2024-10-16 23:19:00,-0.1778,-0.7376,0.77,Negative,Hinglish
CMT00068,"Wow this is so good, subscribing right now! Please reply. ✨",Computer Vision with OpenCV,StatQuest,81,29,2024-11-25 06:44:00,0.4698,0.5101,0.291,Positive,English
CMT00069,I noticed the thumbnail was a bit different. Keep it up! 🤷,Data Science with Pandas,freeCodeCamp,0,0,2024-05-09 16:37:00,-0.0365,0.0196,0.3656,Neutral,English
CMT00070,"I watched this three times, so informative! 👍",SQL for Data Analysis,CampusX,216,21,2025-02-11 20:05:00,0.0644,0.1869,0.7814,Positive,Hindi
CMT00071,"Absolutely brilliant explanation, 10 out of 10! Please reply. 🙌",Python Tutorial for Beginners,Programming with Mosh,73,4,2024-08-28 20:43:00,0.6392,0.8931,0.8367,Positive,English
CMT00072,"Incredible work, keep it up! You are the best! Keep it up! 🔥",Data Science with Pandas,CampusX,11,0,2024-02-17 10:50:00,0.7647,0.7187,0.1449,Positive,English
CMT00073,I have been struggling with this for days and you explained it so simply! Thanks! 👍,Data Science with Pandas,Sentdex,0,1,2024-09-03 15:58:00,0.5493,0.5876,0.5665,Positive,English
CMT00074,"The worst channel I have ever subscribed to, unsubscribing now. Great work. 🚫",Computer Vision with OpenCV,CodeBasics,16,2,2025-03-28 11:37:00,-0.75,-0.9911,0.3393,Negative,English
CMT00075,"Your teaching style is wonderful, please make more videos! 🙌",Deep Learning Explained,StatQuest,61,36,2025-01-02 18:18:00,0.2373,0.4155,0.8942,Positive,English
CMT00076,Watching this as part of my coursework. Please reply. 😐,SQL for Data Analysis,CampusX,6,3,2024-12-26 07:40:00,-0.018,0.0053,0.2521,Neutral,English
CMT00077,The video is around 15 minutes long. Great work. 😐,SQL for Data Analysis,TechWithTim,7,5,2024-05-14 02:58:00,0.0103,0.0323,0.3361,Neutral,Tamil
CMT00078,"Wow this is so good, subscribing right now! Please reply. ✨",Computer Vision with OpenCV,CampusX,3,1,2024-09-20 15:51:00,0.7893,0.8826,0.3361,Positive,English
CMT00079,"The explanation is crystal clear, thank you so much! Please reply. 💯",Web Development with Flask,Sentdex,22,12,2024-01-15 08:34:00,0.1823,0.9682,0.1989,Positive,English
CMT00080,"This gave me a headache, the explanation is so confusing. 😒",Deep Learning Explained,freeCodeCamp,1,0,2024-12-01 19:14:00,-0.4405,-0.2187,0.6181,Negative,Hinglish
CMT00081,Will come back to this later when I need it. 😐,Natural Language Processing Basics,freeCodeCamp,9,1,2024-04-09 07:56:00,0.0119,-0.0307,0.53,Neutral,English
CMT00082,"You are a genius, this was so helpful for my exam! Keep it up! 👍",Machine Learning Crash Course,freeCodeCamp,48,39,2025-02-21 08:02:00,0.444,0.7552,0.6522,Positive,English
CMT00083,I have been struggling with this for days and you explained it so simply! Please reply. ✨,Web Development with Flask,TechWithTim,20,12,2024-10-09 06:07:00,0.8541,0.1444,0.8592,Positive,English
CMT00084,"Not helpful at all, I had to go elsewhere to understand. Thanks! 😒",Data Science with Pandas,Programming with Mosh,0,0,2024-03-11 17:13:00,-0.0772,-0.952,0.5691,Negative,English
CMT00085,I will share this with my classmates. Thanks! 👀,Computer Vision with OpenCV,CampusX,1,0,2024-04-22 21:55:00,-0.0398,0.0287,0.1206,Neutral,English
CMT00086,"Okay video, nothing special really. 🙄",Data Science with Pandas,StatQuest,1,2,2024-04-26 23:04:00,0.0071,-0.0387,0.481,Neutral,Tamil
CMT00087,"Completely wrong information, please do your research first. 😡",Computer Vision with OpenCV,CampusX,13,7,2024-02-01 01:30:00,-0.5651,-0.7895,0.7778,Negative,English
CMT00088,"I watched this three times, so informative! 👍",Data Science with Pandas,CampusX,50,39,2024-11-28 12:38:00,0.1191,0.1268,0.5244,Positive,English
CMT00089,"Completely wrong information, please do your research first. Keep it up! 😤",SQL for Data Analysis,KrishNaik,21,13,2024-12-13 14:25:00,-0.2445,-0.8913,0.4328,Negative,English
CMT00090,"This is pure gold, thank you for sharing! 🙌",Machine Learning Crash Course,Sentdex,31,5,2025-03-18 03:47:00,0.4018,0.195,0.691,Positive,English
CMT00091,"You are a genius, this was so helpful for my exam! Great work. 💯",Neural Networks Tutorial,TechWithTim,6,4,2024-11-15 11:06:00,0.578,0.6865,0.5623,Positive,English
CMT00092,"Clickbait title, the video has nothing to do with it. 😒",Natural Language Processing Basics,Programming with Mosh,12,3,2025-03-15 17:49:00,-0.1936,-0.6674,0.7547,Negative,Hinglish
CMT00093,"This is the worst video I have ever seen, waste of time. 🤦",Data Science with Pandas,CampusX,14,9,2024-12-13 11:00:00,-0.4175,-0.3751,0.2451,Negative,English
CMT00094,The audio quality is so bad I cannot even hear properly. 😡,Computer Vision with OpenCV,KrishNaik,8,6,2025-03-05 14:21:00,-0.8566,-0.3985,0.2259,Negative,English
CMT00095,Loved the way you explained with examples! Thanks! 👍,Reinforcement Learning Guide,TechWithTim,73,43,2024-03-24 08:28:00,0.6105,0.8892,0.6296,Positive,English
CMT00096,"This is pure gold, thank you for sharing! Keep it up! ✨",Machine Learning Crash Course,CampusX,34,31,2025-06-23 21:19:00,0.2526,0.5367,0.1363,Positive,English
CMT00097,"Outstanding content, very well explained! Great work. 👍",Natural Language Processing Basics,3Blue1Brown,36,7,2024-01-08 15:47:00,0.3333,0.2507,0.4445,Positive,English
CMT00098,"Clickbait title, the video has nothing to do with it. 😒",Neural Networks Tutorial,TechWithTim,5,3,2024-01-20 14:58:00,-0.5198,-0.2083,0.1623,Negative,English
CMT00099,Finally someone explained this topic correctly! Keep it up! 🔥,Python Tutorial for Beginners,3Blue1Brown,1,0,2025-04-16 22:58:00,0.7169,0.4468,0.3895,Positive,English
CMT00100,Loved the way you explained with examples! 🎉,Web Development with Flask,KrishNaik,5,2,2024-06-21 02:32:00,0.4264,0.1247,0.6066,Positive,English
CMT00101,"This video deserves way more views, so underrated! Thanks! 👍",Machine Learning Crash Course,CodeBasics,1,1,2024-07-21 05:38:00,0.38,0.9603,0.2223,Positive,Tamil
CMT00102,"This changed my life, thank you from the bottom of my heart! 🙌",Reinforcement Learning Guide,Programming with Mosh,50,20,2024-11-19 04:28:00,0.4861,0.5855,0.1546,Positive,English
CMT00103,"This is pure gold, thank you for sharing! Great work. 🔥",SQL for Data Analysis,freeCodeCamp,18,1,2024-02-28 11:53:00,0.6059,0.3843,0.3297,Positive,Hinglish
CMT00104,The presenter is very unclear and keeps making mistakes. Keep it up! 😡,Reinforcement Learning Guide,KrishNaik,7,5,2025-05-02 16:09:00,-0.6286,-0.4487,0.8662,Negative,English
CMT00105,The slides are visible and readable. 👀,Deep Learning Explained,freeCodeCamp,11,7,2025-06-20 16:39:00,0.0386,-0.0333,0.227,Neutral,English
CMT00106,"Absolutely brilliant explanation, 10 out of 10! ✨",Web Development with Flask,Sentdex,14,12,2024-10-17 08:46:00,0.6882,0.0997,0.7813,Positive,Hinglish
CMT00107,Loved the way you explained with examples! 🎉,Neural Networks Tutorial,CodeBasics,26,19,2024-03-27 09:35:00,0.6738,0.9209,0.4013,Positive,English
CMT00108,The presenter is very unclear and keeps making mistakes. 😒,Web Development with Flask,CampusX,14,5,2024-08-07 10:49:00,-0.9022,-0.3631,0.489,Negative,English
CMT00109,"Your teaching style is wonderful, please make more videos! 😊",Web Development with Flask,Programming with Mosh,12,2,2025-01-20 04:10:00,0.8438,0.1461,0.2447,Positive,Hindi
CMT00110,"Disappointed with this content, expected much better. 😒",Deep Learning Explained,freeCodeCamp,0,1,2025-04-04 07:34:00,-0.3121,-0.9585,0.2913,Negative,English
CMT00111,Loved the way you explained with examples! Keep it up! 🎉,Computer Vision with OpenCV,Telusko,17,13,2024-06-14 06:51:00,0.9754,0.4886,0.5837,Positive,English
CMT00112,"This is misleading information, do not trust this. Great work. 👎",Machine Learning Crash Course,CodeBasics,1,1,2025-04-05 16:09:00,-0.4687,-0.9025,0.7648,Negative,English
CMT00113,Subscribed to the channel a while ago. Please reply. 🤷,Web Development with Flask,KrishNaik,13,6,2024-03-24 11:14:00,0.0344,-0.0068,0.1226,Neutral,English
CMT00114,This video is way too long and covers nothing useful. 🚫,Data Science with Pandas,freeCodeCamp,16,14,2024-01-06 02:01:00,-0.8607,-0.7275,0.3047,Negative,English
CMT00115,I will share this with my classmates. Thanks! 🙄,Natural Language Processing Basics,Sentdex,5,0,2024-09-01 13:40:00,0.0022,-0.0311,0.7351,Neutral,English
CMT00116,"This changed my life, thank you from the bottom of my heart! ❤️",Data Science with Pandas,CampusX,102,27,2024-01-02 19:22:00,0.6109,0.0656,0.2925,Positive,English
CMT00117,The audio quality is so bad I cannot even hear properly. Keep it up! 😡,SQL for Data Analysis,TechWithTim,16,12,2025-01-17 08:47:00,-0.4979,-0.6574,0.113,Negative,English
CMT00118,"Incredible work, keep it up! You are the best! Thanks! ✨",Python Tutorial for Beginners,3Blue1Brown,10,8,2024-12-12 20:11:00,0.7752,0.7484,0.7643,Positive,Hindi
CMT00119,"Average video, serves its purpose. 🤔",SQL for Data Analysis,TechWithTim,11,4,2024-07-25 01:50:00,0.0105,0.0249,0.2596,Neutral,English
CMT00120,Not sure if this matches what I was looking for. Great work. 📌,Python Tutorial for Beginners,KrishNaik,3,2,2024-12-31 01:55:00,-0.0081,0.0252,0.6246,Neutral,English
CMT00121,I noticed the thumbnail was a bit different. Great work. 🤷,Data Science with Pandas,freeCodeCamp,8,7,2025-01-11 16:17:00,0.0312,0.0195,0.7409,Neutral,Hindi
CMT00122,"Best channel on YouTube for learning, period! Great work. 🎉",Machine Learning Crash Course,Sentdex,113,20,2024-10-29 09:28:00,0.9854,0.2214,0.5821,Positive,English
CMT00123,"This is misleading information, do not trust this. Please reply. 😒",Neural Networks Tutorial,CampusX,3,0,2024-03-17 21:40:00,-0.5697,-0.3095,0.425,Negative,English
CMT00124,"This is the worst video I have ever seen, waste of time. 🚫",Data Science with Pandas,Sentdex,1,0,2025-01-10 11:24:00,-0.8558,-0.4228,0.8596,Negative,English
CMT00125,"I watched this three times, so informative! Please reply. 🔥",Data Science with Pandas,Telusko,12,5,2025-02-11 10:41:00,0.9419,0.4034,0.323,Positive,English
CMT00126,"Nothing new here, just copied from other videos. Great work. 👎",Natural Language Processing Basics,freeCodeCamp,5,1,2024-10-19 22:58:00,-0.5033,-0.1321,0.8989,Negative,English
CMT00127,"The explanation is crystal clear, thank you so much! 🙌",Web Development with Flask,3Blue1Brown,85,45,2024-03-07 17:34:00,0.4749,0.9037,0.3323,Positive,English
CMT00128,"Disappointed with this content, expected much better. Thanks! 👎",Data Science with Pandas,KrishNaik,19,15,2024-01-27 11:35:00,-0.2439,-0.5167,0.5578,Negative,English
CMT00129,"The explanation is crystal clear, thank you so much! Please reply. 🙌",Neural Networks Tutorial,StatQuest,0,0,2024-05-08 10:41:00,0.1118,0.4283,0.1593,Positive,English
CMT00130,This video is way too long and covers nothing useful. Thanks! 💀,Neural Networks Tutorial,Telusko,7,0,2024-05-07 16:09:00,-0.1647,-0.2588,0.3433,Negative,English
CMT00131,"Okay video, nothing special really. 🙄",Natural Language Processing Basics,KrishNaik,2,2,2024-05-08 20:19:00,-0.0123,0.0353,0.5915,Neutral,English
CMT00132,"Please take this video down, it is spreading wrong information. Please reply. 😒",Python Tutorial for Beginners,TechWithTim,2,0,2024-02-16 20:49:00,-0.1049,-0.8535,0.5614,Negative,Hinglish
CMT00133,I noticed the thumbnail was a bit different. 🙄,Natural Language Processing Basics,freeCodeCamp,0,0,2025-02-19 09:29:00,0.0094,-0.0376,0.1584,Neutral,English
CMT00134,"This changed my life, thank you from the bottom of my heart! Great work. 👍",Web Development with Flask,3Blue1Brown,20,12,2024-05-13 11:32:00,0.4866,0.3732,0.5493,Positive,English
CMT00135,"This is pure gold, thank you for sharing! Great work. 😊",Neural Networks Tutorial,Programming with Mosh,143,26,2024-09-11 05:52:00,0.4726,0.1838,0.3619,Positive,Hinglish
CMT00136,This really helped me understand the topic perfectly! Great work. 🙌,SQL for Data Analysis,TechWithTim,19,2,2025-02-06 16:29:00,0.5184,0.539,0.8733,Positive,English
CMT00137,"Best tutorial I have ever watched, very helpful! Great work. 🙌",Computer Vision with OpenCV,TechWithTim,36,6,2025-03-17 04:56:00,0.3145,0.6176,0.3116,Positive,English
CMT00138,"Best tutorial I have ever watched, very helpful! Great work. ❤️",Computer Vision with OpenCV,CampusX,60,4,2025-01-30 16:28:00,0.4265,0.5918,0.7115,Positive,English
CMT00139,"Completely wrong information, please do your research first. Great work. 😒",Computer Vision with OpenCV,3Blue1Brown,4,1,2024-07-22 19:32:00,-0.8691,-0.9082,0.4211,Negative,English
CMT00140,"Absolutely brilliant explanation, 10 out of 10! Please reply. 👍",Computer Vision with OpenCV,CodeBasics,178,20,2024-11-22 05:25:00,0.8057,0.5434,0.8925,Positive,Hindi
CMT00141,The presenter is very unclear and keeps making mistakes. Keep it up! 🤦,Python Tutorial for Beginners,3Blue1Brown,32,21,2024-04-22 13:37:00,-0.2114,-0.4943,0.3461,Negative,Hindi
CMT00142,"Not helpful at all, I had to go elsewhere to understand. 😤",Python Tutorial for Beginners,Programming with Mosh,2,3,2024-06-23 16:40:00,-0.5439,-0.0813,0.6769,Negative,Tamil
CMT00143,I have been struggling with this for days and you explained it so simply! Thanks! 🔥,Python Tutorial for Beginners,freeCodeCamp,34,20,2025-03-04 04:26:00,0.0797,0.9508,0.6524,Positive,English
CMT00144,"Average video, serves its purpose. 😐",Data Science with Pandas,Telusko,1,0,2024-11-28 21:30:00,0.0298,0.0189,0.5204,Neutral,English
CMT00145,"You are a genius, this was so helpful for my exam! Please reply. 🎉",SQL for Data Analysis,KrishNaik,16,7,2024-10-12 17:19:00,0.3718,0.3866,0.2799,Positive,English
CMT00146,"Outstanding content, very well explained! Great work. 🙌",Computer Vision with OpenCV,CampusX,1,1,2024-05-04 18:43:00,0.6988,0.5146,0.5346,Positive,English
CMT00147,The video is around 15 minutes long. Great work. 🤔,SQL for Data Analysis,CampusX,4,5,2025-05-05 06:12:00,-0.0168,-0.017,0.7624,Neutral,English
CMT00148,This video is way too long and covers nothing useful. Thanks! 😤,Python Tutorial for Beginners,Telusko,6,3,2024-08-26 01:06:00,-0.8873,-0.2962,0.4306,Negative,Hindi
CMT00149,"Wow this is so good, subscribing right now! Keep it up! 👍",SQL for Data Analysis,freeCodeCamp,2,1,2024-10-21 10:18:00,0.0549,0.5728,0.6167,Positive,Tamil
CMT00150,"Clickbait title, the video has nothing to do with it. Thanks! 😡",Neural Networks Tutorial,CodeBasics,3,0,2025-02-10 15:11:00,-0.487,-0.313,0.8493,Negative,English
CMT00151,Loved the way you explained with examples! Great work. ✨,SQL for Data Analysis,Telusko,119,33,2025-05-20 04:54:00,0.6166,0.932,0.5034,Positive,English
CMT00152,The slides are visible and readable. 🙄,Data Science with Pandas,TechWithTim,1,2,2024-12-11 09:36:00,-0.027,-0.0033,0.6395,Neutral,English
CMT00153,"Horrible video, the examples make no sense at all. Keep it up! 👎",Machine Learning Crash Course,CodeBasics,1,0,2025-05-03 10:59:00,-0.2126,-0.5105,0.2984,Negative,English
CMT00154,"This is pure gold, thank you for sharing! Great work. 😊",Web Development with Flask,KrishNaik,33,3,2024-05-01 14:19:00,0.9468,0.3368,0.2278,Positive,Hindi
CMT00155,Will come back to this later when I need it. Great work. 🙄,Reinforcement Learning Guide,KrishNaik,21,7,2024-05-16 15:09:00,0.0152,0.0111,0.464,Neutral,Hinglish
CMT00156,"You are a genius, this was so helpful for my exam! Thanks! ❤️",Reinforcement Learning Guide,Sentdex,13,8,2025-04-02 16:45:00,0.908,0.7695,0.3894,Positive,Hinglish
CMT00157,"You are a genius, this was so helpful for my exam! Thanks! 👍",Web Development with Flask,Telusko,55,28,2024-04-29 21:13:00,0.8987,0.242,0.6735,Positive,English
CMT00158,This topic was covered in my class too. Keep it up! 🤷,Reinforcement Learning Guide,TechWithTim,7,8,2025-04-18 21:51:00,0.0247,-0.0037,0.3465,Neutral,English
